,Town,D_lat,D_long
292,Ordizia,43.05325017019918,-2.185568795899589
293,Ordizia,43.057302577966055,-2.172013363473536
294,Ordizia,43.0537938178301,-2.1782933703556147
295,Ordizia,43.051582322755664,-2.1802928335615315
296,Urretxu,43.08353115683022,-2.3268608807877986
297,Urretxu,43.093138942707135,-2.3137245691222486
298,Urretxu,43.085341742256354,-2.3228481340541602
299,Urretxu,43.0971321107071,-2.318782591192422
300,Urretxu,43.08976753479697,-2.3193307746801124
301,Urretxu,43.07874021084739,-2.3267231111371633
302,Urretxu,43.082535670785596,-2.3252398120044924
303,Urretxu,43.0976002234924,-2.3162631125021425
304,Zarautz,43.28707184356284,-2.1622060538242622
305,Zarautz,43.276306389127974,-2.181182444279862
306,Zarautz,43.28302155870034,-2.166564920815157
307,Zarautz,43.27624645246695,-2.1747255285259035
308,Zarautz,43.28541042343391,-2.1751309348548244
309,Zarautz,43.274378536829495,-2.1686445913239254
310,Zarautz,43.28172739642067,-2.1631598094488846
311,Zarautz,43.269075318591455,-2.1715954586386643
312,Zumarraga,43.09014269484235,-2.3146937109819703
313,Zumarraga,43.08356881195199,-2.3197227463766428
314,Zumarraga,43.08838142611905,-2.319041835024228
315,Zumarraga,43.08914612588823,-2.3125592786363445
316,Zumarraga,43.08211838433299,-2.3181084964002623
317,Zumarraga,43.089218083582644,-2.3158657854869196
318,Zumarraga,43.09187511420865,-2.312960288435472
319,Zumarraga,43.08488036432811,-2.3180224688627917
320,Zumaia,43.28513122811086,-2.264775859967391
321,Zumaia,43.290729544343904,-2.245998044170205
322,Zumaia,43.296225858593104,-2.2584442066502333
323,Zumaia,43.27928156373096,-2.247433916884222
324,Zumaia,43.28855592073863,-2.2574951859475276
325,Zumaia,43.293111999773295,-2.251000149927518
326,Zumaia,43.28218267105485,-2.2407565549970165
327,Zumaia,43.28402363474873,-2.2595594003558874
328,Lasarte-Oria,43.25778480763346,-2.0188577723831584
329,Lasarte-Oria,43.26865611860546,-2.0202765685425192
330,Lasarte-Oria,43.26263006323868,-2.0188840121474647
331,Lasarte-Oria,43.27202119083374,-2.01917361254581
332,Lasarte-Oria,43.26597509953368,-2.0145457841019274
333,Lasarte-Oria,43.25152184214526,-2.020233010252909
334,Lasarte-Oria,43.266643112706966,-2.0194974697487322
335,Lasarte-Oria,43.255058990983215,-2.019741995772353
336,Astigarraga,43.281754106767195,-1.9528634971244885
337,Astigarraga,43.29733912123902,-1.9411464959922915
338,Astigarraga,43.27380838164532,-1.9549250230545228
339,Astigarraga,43.28977124400879,-1.9367546265636464
340,Astigarraga,43.28337922616248,-1.9513619185428326
341,Astigarraga,43.27608318584531,-1.952763564379859
342,Astigarraga,43.27568525654995,-1.9560253089054758
343,Astigarraga,43.290452830146556,-1.9408924020231093
344,Astigarraga,43.28519385516215,-1.950790918483202
345,Astigarraga,43.2815450936891,-1.9510019007619253
346,Astigarraga,43.27173287265652,-1.9542265609168894
347,Astigarraga,43.2833047868641,-1.9535356205810164
